trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",30,10,34.83015879247245,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,14,12.943856278859437,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",20,15,8.42539436933813,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",20,14,-29.728639020117413,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",25,0,-46.92283259468338,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",25,0,13.703109211570865,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",25,0,-4.866950785961689,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",20,14,12.553500285842821,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",20,6,-28.445877619913734,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",20,0,24.02599087939426,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",25,0,15.808023256955192,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",25,14,18.673924412792932,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",25,13,0.09140105971552037,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",30,24,12.493819359364624,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",20,2,19.82943121891287,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",20,8,-9.978697880188657,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",20,3,17.085566271675745,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",25,15,20.334008678827622,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19499999999999929}",20,0,11.663832719449665,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.18999999999999928}",25,16,-22.64114569395238,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.18499999999999928}",20,2,14.499155183034613,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.17999999999999927}",20,12,14.670723366041635,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.17499999999999927}",35,10,-15.685370717701053,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",1
166,False,"{'a': 0.5, 'e': 0.16999999999999926}",20,3,17.688403226545788,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.16499999999999926}",20,0,-57.829487949821576,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,6,17.211968511829102,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.15499999999999925}",35,21,28.25300543278446,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
